rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.018769782,1000000000,0.018769782,0
1,3,0.019290285,0.001437274,0.001437274,0.00052050315
2,4,0.042528745,0.02365668,0.02365668,0.02323846
3,5,0.034390517,0.03819104,0.054577652,-0.008138228
4,6,0.025128847,0.014930293,0.014930293,-0.00926167
5,7,0.049298055,0.01713234,0.058738254,0.024169208
6,8,0.010000856,0.022508614,0.058110677,-0.0392972
7,9,0.011784912,0.010138499,0.020693097,0.0017840564
8,10,0.06614615,0.01853743,0.055262834,0.05436124
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.048137337,1000000000,0.048137337,0
1,3,0.048998427,0.0185884,0.0185884,0.0008610897
2,4,0.07973365,0.068445586,0.068445586,0.03073522
3,5,0.049784202,0.058604047,0.061926737,-0.029949445
4,6,0.03621598,0.06766938,0.06766938,-0.0135682225
5,7,0.01768096,0.026751775,0.026751775,-0.01853502
6,8,0.04382895,0.029762479,0.03090754,0.02614799
7,9,2.0099183e-08,0.017680962,0.043828953,-0.04382893
8,10,0.029907234,0.008354455,0.029907241,0.029907214
9,11,0.058298305,0.020979157,0.03545946,0.02839107
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.040883597,1000000000,0.040883597,0
1,3,0.036487687,0.008887125,0.008887125,-0.0043959096
2,4,0.07476747,0.04048052,0.046739038,0.038279783
3,5,0.060742054,0.026633102,0.026633102,-0.014025416
4,6,0.056502044,0.007013232,0.007013232,-0.00424001
5,7,0.11123518,0.051985726,0.062159944,0.054733135
6,8,0.071184196,0.014267139,0.04757346,-0.040050983
7,9,0.12208759,0.0153041,0.059173804,0.050903395
8,10,0.02049885,0.033545356,0.1049418,-0.10158874
9,11,0.09287201,0.07553129,0.08986515,0.07237316
10,12,0.06860577,0.042031992,0.042031992,-0.024266236
11,13,0.1097275,0.041822255,0.06636276,0.04112173
12,14,0.08847588,0.037520412,0.037520412,-0.021251619
13,15,0.11272095,0.03662488,0.058510482,0.024245068
14,16,0.12109729,0.03006975,0.032648448,0.008376338
15,17,0.12338951,0.05374304,0.064925954,0.0022922233
16,18,0.15038587,0.0654959,0.0654959,0.02699636
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.018188851,1000000000,0.018188851,0
1,3,0.071786866,0.06535124,0.06535124,0.053598017
2,4,0.17191541,0.14432435,0.14432435,0.10012855
3,5,0.11301835,0.09982404,0.111726455,-0.058897063
4,6,0.18226452,0.028849173,0.11944019,0.06924617
5,7,0.16211909,0.14043282,0.17695062,-0.020145431
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.019748244,1000000000,0.019748244,0
1,3,0.15409724,0.15677261,0.15677261,0.134349
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.01972185,1000000000,0.01972185,0
1,3,0.058943484,0.053591393,0.053591393,0.039221633
2,4,0.018168319,0.02667807,0.04590228,-0.040775165
3,5,0.02946303,0.014839634,0.014839634,0.011294711
4,6,0.03324721,0.03512974,0.04757555,0.0037841797
5,7,0.03467133,0.01883314,0.046396673,0.0014241189
6,8,0.05398681,0.010236018,0.021358406,0.019315481
7,9,0.04939423,0.024156062,0.06470306,-0.004592579
8,10,0.1015505,0.054613452,0.08919144,0.052156266
9,11,0.05385705,0.014192741,0.06164363,-0.047693446
10,12,0.03525677,0.019032616,0.05333888,-0.018600281
11,13,0.04044194,0.015924856,0.015924856,0.005185172
12,14,0.056316227,0.026658421,0.026658421,0.015874285
13,15,0.071656376,0.025020443,0.025020443,0.015340149
14,16,0.062127184,0.023959015,0.023959015,-0.009529192
15,17,0.074458435,0.07803011,0.11170546,0.012331251
16,18,0.07351865,0.042851306,0.042851306,-0.00093978643
17,19,0.08978573,0.03512581,0.04153837,0.016267084
18,20,0.03549386,0.025817247,0.10093446,-0.054291874
19,21,0.034813013,0.02052786,0.044398773,-0.00068084523
20,22,0.018798865,0.018124273,0.019356985,-0.016014148
21,23,0.01880725,8.845026e-05,8.845026e-05,8.383766e-06
22,24,0.014481123,0.013758698,0.020408567,-0.0043261265
23,25,0.014481125,1.3431725e-08,1.3431725e-08,2.7939677e-09
24,26,0.03324721,0.0,0.034451246,0.018766085
25,27,0.06271595,0.030739916,0.07834832,0.029468738
26,28,0.024420923,0.0118313115,0.08045041,-0.038295023
