rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.096438095,1000000000,0.096438095,0
1,3,0.1000509,0.020402776,0.020402776,0.0036128014
2,4,0.121955335,0.047463726,0.049744427,0.021904439
3,5,0.11796999,0.1459955,0.16251063,-0.0039853454
4,6,0.053521145,0.11264479,0.1301284,-0.06444885
5,7,0.12717071,0.055070013,0.11921294,0.07364957
6,8,0.107918926,0.100378916,0.1746194,-0.019251786
7,9,0.022745404,0.045771737,0.09679462,-0.08517352
8,10,0.088342495,0.03169774,0.081089795,0.06559709
9,11,0.16916186,0.0931314,0.10151182,0.08081936
10,12,0.03667018,0.033177387,0.1623228,-0.13249168
11,13,0.15282583,0.043009505,0.1475758,0.116155654
12,14,0.06788003,0.033579007,0.12657884,-0.084945805
13,15,0.15712029,0.03204398,0.12404343,0.08924026
14,16,0.17599285,0.04126645,0.054191448,0.01887256
15,17,0.10067319,0.052429665,0.09293232,-0.075319655
16,18,0.028559042,0.02331306,0.083354905,-0.07211415
17,19,0.08793178,0.030842489,0.07392422,0.059372738
18,20,0.092526525,0.038152523,0.13954073,0.0045947433
19,21,0.092526525,0.0,0.0,0.0
20,22,0.115267135,0.034790665,0.034790665,0.02274061
21,23,0.09082005,0.030744277,0.041833997,-0.024447083
22,24,0.09082005,0.0,0.0,0.0
23,25,0.11340959,0.029888185,0.029888185,0.022589542
24,26,0.092403404,0.04438675,0.060514998,-0.02100619
25,27,0.022190036,0.03665542,0.08940588,-0.07021337
26,28,0.022190036,0.0,0.0,0.0
27,29,0.09986639,0.021202186,0.09069794,0.077676356
28,30,0.09191723,0.018919358,0.043744646,-0.007949159
29,31,0.09191723,0.0,0.0,0.0
30,32,0.114163324,0.0194443,0.030970447,0.022246093
31,33,0.08486377,0.02062857,0.06595948,-0.029299557
32,34,0.09293806,0.064405516,0.064405516,0.008074291
33,35,0.09293806,0.0,0.0,0.0
34,36,0.11081695,0.04479178,0.04479178,0.01787889
35,37,0.046055377,0.040032398,0.1185828,-0.06476157
36,38,0.046055377,0.0,0.0,0.0
37,39,0.09082454,0.03850317,0.09496531,0.04476916
38,40,0.096151724,0.0406355,0.06940396,0.0053271875
