rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.06845759,1000000000,0.06845759,0
1,3,0.063370556,0.0673559,0.0673559,-0.005087033
2,4,0.05088802,0.015247545,0.015247545,-0.012482535
3,5,0.11467563,0.06655047,0.07414115,0.06378761
4,6,0.10823822,0.014714333,0.014714333,-0.0064374134
5,7,0.061804365,0.029890923,0.056340188,-0.046433855
6,8,0.04559749,0.02761009,0.047087885,-0.016206875
7,9,0.07392912,0.026348623,0.046732936,0.028331634
8,10,0.12262057,0.05663046,0.056997705,0.048691444
9,11,0.14275283,0.030691873,0.030691873,0.020132259
10,12,0.11632123,0.027229141,0.0641037,-0.026431598
11,13,0.09111769,0.029336559,0.04395259,-0.02520354
12,14,0.120330684,0.01710453,0.03767813,0.029212996
13,15,0.14582708,0.02754673,0.042184073,0.0254964
14,16,0.15693049,0.022076286,0.022076286,0.011103407
15,17,0.10814065,0.10702705,0.16545877,-0.048789844
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.1679333,1000000000,0.1679333,0
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.050192505,1000000000,0.050192505,0
1,3,0.03208916,0.03626449,0.03626449,-0.018103346
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.018509142,1000000000,0.018509142,0
1,3,0.022945229,0.029932706,0.029932706,0.004436087
2,4,0.090664916,0.09679747,0.09679747,0.06771968
3,5,0.017604,0.012480115,0.09991093,-0.073060915
4,6,0.017882185,0.013029931,0.01731484,0.0002781842
5,7,0.017622555,0.008464823,0.008464823,-0.00025963038
6,8,0.08654771,0.058466848,0.09104409,0.06892516
7,9,0.2220191,0.21868467,0.21944794,0.1354714
8,10,0.25972226,0.12400723,0.12400723,0.037703156
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.018106833,1000000000,0.018106833,0
1,3,0.07069792,0.06838473,0.06838473,0.052591085
2,4,0.076608464,0.016343568,0.016343568,0.0059105456
3,5,0.012650553,0.02216402,0.077965915,-0.063957915
4,6,0.076471746,0.077665105,0.077665105,0.0638212
5,7,0.026860181,0.011774957,0.0791836,-0.049611565
6,8,0.04123935,0.025683852,0.025683852,0.01437917
7,9,0.041370984,0.006842618,0.006842618,0.00013163313
8,10,0.047921997,0.024625648,0.02844035,0.0065510124
9,11,0.022177804,0.005750187,0.03613188,-0.025744192
10,12,0.033836197,0.0349242,0.043012634,0.011658393
11,13,0.05068121,0.014874294,0.06671235,0.016845014
12,14,0.10002684,0.061825674,0.08392427,0.049345627
13,15,0.07536119,0.034558315,0.034558315,-0.024665646
14,16,0.061729066,0.020553038,0.065037295,-0.013632126
15,17,0.088833034,0.03806912,0.059988745,0.027103968
16,18,0.088833034,0.0,0.0,0.0
17,19,0.10237321,0.020081082,0.020081082,0.013540179
18,20,0.09077648,0.016929328,0.025852378,-0.011596732
19,21,0.10945002,0.015666349,0.027391346,0.01867354
20,22,0.052899256,0.022180123,0.09808329,-0.056550764
21,23,0.07288069,0.022834288,0.052802432,0.019981436
22,24,0.07805888,0.013866148,0.013866148,0.005178191
23,25,0.07805888,0.0,0.0,0.0
24,26,0.07910821,0.0049368665,0.0049368665,0.0010493249
25,27,0.07905294,0.006891612,0.006891612,-5.5268407e-05
26,28,0.08249379,0.007160247,0.007160247,0.0034408495
27,29,0.0547187,0.017805876,0.060773958,-0.02777509
