1	"public void setRenderer(CategoryItemRenderer renderer){
setRenderer(0,renderer,true);
}"
2	"@Override public boolean remove(Object obj){
return (map.remove(obj)!=null);
}"
3	"@Override public void onReceive(Context context,Intent intent){
System.out.println(""Starting scan"");
wifiList=wifimanager.getScanResults();
for(ScanResult result : wifiList){
Listitem LI=new Listitem();
LI.ssid=result.SSID;
LI.bssid=result.BSSID;
LI.strength=result.level;
LI.freq=result.frequency;
wlist.add(LI);
System.out.println(""SSIS :  ""+LI.ssid+""\t BSSID : ""+LI.bssid);
}
System.out.println(""Size is : ""+wlist.size());
Log.e(""fgggggggh "",wlist.toString());
Toast.makeText(getApplication(),""Helel a"",Toast.LENGTH_LONG).show();
System.out.println(""Done scanning"");
myadapter.notifyDataSetChanged();
}"
4	"@Override public boolean isDelicious(){
return this.isBaked()||this.isBoiled();
}"
5	"@Override protected void onPreExecute(){
super.onPreExecute();
}"
6	"@Override protected void onPostExecute(Integer result){
if(result==1){
Fragment fragment=new ShowMovieListHorizontal();
Bundle bundle=new Bundle();
bundle.putString(ShowMovieListHorizontal.MOVIE_LIST,response.toString());
bundle.putInt(ShowMovieListHorizontal.FLAG,MovieUtils.MOVIE_RESULTS);
fragment.setArguments(bundle);
getFragmentManager().beginTransaction().add(R.id.similar_movies,fragment).commit();
(v.findViewById(R.id.similar_movies_title)).setVisibility(View.VISIBLE);
++status;
}
if(status==3){
dialog.dismiss();
}
}"
7	"@Override public void clicked(){
if(playServiceFlapIsOut){
movingFlaps=true;
Main.mainController.getLeaderboard();
}
}"
8	"public void run(){
while(true){
if(!approachingBeaconator){
if(?.getLightSensor().getLightDetected()>=0.4){
?.rotate(Math.PI*4/9,getColor()==OmegasAlliance.BLUE);
?.driveForward(600.0);
approachingBeaconator=true;
}else {
for(DcMotor motor : ?.getMotors()){
motor.setPower(0.25);
}
}
}else {
return ;
}
}
}"
9	"@Override public void close() throws IOException{
store.close();
}"
10	"@Override public int result(){
return 0;
}"
11	"@Override public void onCancelled(DatabaseError databaseError){
Log.e(""Database"",databaseError.getMessage());
}"
12	"public Object getEditableValue(){
return this.table;
}"
13	"@Override public void onClick(ClickEvent clickEvent){
}"
14	"public Collection<ImageData> getImages(SecurityContext ctx,Collection<Long> ids,ParametersI params) throws DSOutOfServiceException,DSAccessException{
if(ids==null||ids.isEmpty()){
return Collections.emptyList();
}
try{
List<Long> idsList=new ArrayList<Long>(ids.size());
for(long id : ids){
idsList.add(id);
}
IContainerPrx service=gateway.getPojosService(ctx);
List<Image> images=service.getImages(PojoMapper.getModelType(ImageData.class).getName(),idsList,params);
Collection<ImageData> result=new ArrayList<ImageData>(images.size());
for(Image img : images){
result.add((ImageData)PojoMapper.asDataObject(img));
}
return result;
}catch(Throwable t){
handleException(this,t,""Could not load images"");
}
return Collections.emptyList();
}"
15	"public void onClick(DialogInterface dialog,int which){
}"
16	"public static AccumuloProperties loadStoreProperties(InputStream storePropertiesStream){
return ((AccumuloProperties)StoreProperties.loadStoreProperties(storePropertiesStream));
}"
17	"public void onClick(View v){
switch (v.getId()){
case R.id.background_input_field :
String backgroundTxtStr=editText.getText().toString();
Toast backgroundTxt=Toast.makeText(getBaseContext(),backgroundTxtStr,Toast.LENGTH_LONG);
backgroundTxt.show();
break;
case R.id.bg_back_page_btn :
this.finish();
break;
case R.id.bg_next_page_btn :
Bundle prevBundle=getIntent().getExtras();
Intent intent=new Intent(this,StartActivity.class);
intent.putExtra(""Selected Class"",prevBundle.getString(""Selected Class""));
intent.putExtra(""Selected Race"",prevBundle.getString(""Selected Race""));
intent.putExtra(""Background"",editText.getText().toString());
startActivity(intent);
}
}"
18	"public void handle(MouseEvent event){
isDragDetected=true;
}"
19	"@Override public void show(){
super.show();
Game game=getGameEngine().getGame();
if(editingLevel!=null){
updateGame();
}
Collection<Level> levelsArrayList=game.getLevels().values();
createLevelsOverview(levelsArrayList);
this.scrollPane.scrollToCenter(30,40,100,100);
}"
20	"@Override protected boolean isConnected(ForgeDirection side){
return connections.getConnectionOnSide(side)!=null;
}"
21	"@Override public BigDecimal eval(BigDecimal v1,BigDecimal v2){
return v1.subtract(v2);
}"
22	"@Override protected void process(List<Integer> numCompleted){
progress.setIndeterminate(false);
progress.setValue((int)(100/(numCoals/(float)numCompleted.get(0))));
}"
23	"public void onClick(DialogInterface dialog,int id){
if(noteExists&&note!=null){
controller.deleteNote(note);
}
setResult(RESULT_OK);
finish();
}"
24	"boolean checkTerminated(boolean d,boolean empty,Subscriber<?> a){
if(cancelled){
scalarQueue=null;
s.cancel();
unsubscribe();
return true;
}
if(delayError){
if(d&&empty){
Throwable e=error;
if(e!=null&&e!=Exceptions.TERMINATED){
e=Exceptions.terminate(ERROR,this);
a.onError(e);
}else {
a.onComplete();
}
return true;
}
}else {
if(d){
Throwable e=error;
if(e!=null&&e!=Exceptions.TERMINATED){
e=Exceptions.terminate(ERROR,this);
scalarQueue=null;
s.cancel();
unsubscribe();
a.onError(e);
return true;
}else {
if(empty){
a.onComplete();
return true;
}
}
}
}
return false;
}"
25	"public void onClick(DialogInterface dialog,int which){
getOwner().setIntentAndFinish(true,true);
}"
26	"@Override public void onFavoriteFragmentInteraction(RealmResults<FavoriteAudio> audios,int position){
audioList=convertList(audios);
playAudio(position);
}"
27	"@Override public Set<Contact> getContacts(int... ids){
int idsSize=ids.length;
int contactSize=contacts.size();
Set<Contact> filteredContacts=new HashSet<Contact>();
Contact[] search=(Contact[])contacts.toArray();
for(int i=0;i<idsSize;i++){
int toCompare=ids[i];
for(int j=0;j<contactSize;j++){
if(search[i].getId()==toCompare){
filteredContacts.add(search[i]);
}
}
}
return filteredContacts;
}"
28	"int getActiveWindowId(){
return mSecurityPolicy.getActiveWindowId();
}"
29	"public List<Product> parseResponse(String response) throws JSONException,ParseException{
if(response.isEmpty()){
return new ArrayList<>();
}
SimpleDateFormat formatter=new SimpleDateFormat(""yyyy-MM-dd hh:mm:ss"");
JSONArray jsonProducts=new JSONArray(response);
List<Product> result=new ArrayList<>(jsonProducts.length());
